learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (leaves)
100.0,0.02181,1.2467820507784685E-8,100.0,7.30210640457376,8.612267914526585,100.0,2225552.0,1.0
200.0,0.37939,2.294585078333815E-7,200.0,6.586964068173678,7.600585748333049,200.0,2345688.0,1.0
300.0,0.544277,3.346399390262862E-7,300.0,7.949117745885201,9.589756843447933,300.0,2465784.0,1.0
400.0,0.70395,4.414651494411131E-7,400.0,12.292221181297121,16.051892076477387,400.0,2586096.0,1.0
500.0,0.844319,5.399318385683E-7,500.0,14.097103639607473,18.25782941751728,500.0,2711568.0,1.0
600.0,0.964746,6.285092118630807E-7,600.0,17.592891979324506,22.779231360785737,600.0,2843160.0,1.0
700.0,1.079401,7.16636109550794E-7,700.0,25.799486227103838,41.38951008570502,700.0,2971104.0,1.0
800.0,1.194094,8.086732029293976E-7,800.0,29.25348702922146,44.249012831599664,800.0,3101904.0,1.0
900.0,1.307207,9.032474521671733E-7,900.0,30.446103329736466,44.16981258188461,900.0,3231936.0,1.0
1000.0,1.422504,1.003358044854055E-6,1000.0,32.03440628119845,45.55445469460015,1000.0,3356328.0,1.0
1100.0,1.547366,1.1157918748818339E-6,1000.0,33.58748768094451,46.239512032874664,1100.0,3480720.0,1.0
1200.0,1.679013,1.2385366511282822E-6,1000.0,34.432746549626316,46.74291002711776,1200.0,3604080.0,1.0
1300.0,1.810393,1.3653051944511633E-6,1000.0,36.165380887357834,47.73821211014384,1300.0,3729792.0,1.0
1400.0,1.945002,1.4996615654602648E-6,1000.0,36.58900282284972,48.02706944459079,1400.0,3858216.0,1.0
1500.0,2.081872,1.6407675899689397E-6,1000.0,38.128049314375886,48.84391456752711,1500.0,3985104.0,1.0
1600.0,2.223763,1.7918689454471072E-6,1000.0,41.53273302096145,53.13854366509455,1600.0,4116384.0,1.0
1700.0,2.362899,1.9447842992221317E-6,1000.0,39.41970554147957,47.599509037143676,1700.0,4248288.0,1.0
1800.0,2.512253,2.1139129670585197E-6,1000.0,40.175903392756176,47.71087039649985,1800.0,4377264.0,1.0
1900.0,2.66337,2.2899901832267644E-6,1000.0,41.167504370928896,48.8139878618923,1900.0,4503936.0,1.0
2000.0,2.814709,2.471225330506762E-6,1000.0,38.758436401901434,46.381454040368844,2000.0,4629072.0,1.0
2100.0,2.977466,2.6714079858921468E-6,1000.0,37.666527409739935,45.95161430911785,2100.0,4754328.0,1.0
2200.0,3.14339,2.88076149886474E-6,1000.0,39.377660761854365,46.78389184634279,2200.0,4877232.0,1.0
2300.0,3.304466,3.0890975460223854E-6,1000.0,42.897101496681614,50.50012469165589,2300.0,4999608.0,1.0
2400.0,3.467521,3.3053720040060582E-6,1000.0,46.95768849583697,54.342449417107495,2400.0,5127120.0,1.0
2500.0,3.637176,3.535885462674002E-6,1000.0,52.53114235327142,60.72756426445325,2500.0,5252088.0,1.0
2600.0,3.807655,3.7729336533012493E-6,1000.0,54.99098636802681,63.49537557498347,2600.0,5374872.0,1.0
2700.0,3.983539,4.023355063280712E-6,1000.0,59.173115991652004,67.9918673077126,2700.0,5503608.0,1.0
2800.0,4.163864,4.286240545952072E-6,1000.0,62.130158661751324,71.20767482208456,2800.0,5635248.0,1.0
2900.0,4.342895,4.553323206876715E-6,1000.0,61.66091763414565,70.58771678205702,2900.0,5766600.0,1.0
3000.0,4.53982,4.853426659709464E-6,1000.0,60.82486530960021,70.19171525844041,3000.0,5890776.0,1.0
3100.0,4.743567,5.170312346244853E-6,1000.0,60.651487513364,70.06427291169462,3100.0,6011928.0,1.0
3200.0,4.958705,5.511877619822821E-6,1000.0,61.73058406784244,70.5325086050411,3200.0,6137040.0,1.0
3300.0,5.180953,5.872023888776701E-6,1000.0,61.90536884743351,70.28072616455921,3300.0,6263880.0,1.0
3400.0,5.405215,5.994199716622632E-6,1000.0,63.14981216987561,71.55545219083558,3400.0,2107752.0,2.0
3500.0,5.496294,6.0466821663309315E-6,1000.0,57.9648793639951,66.5302188774081,3500.0,2227400.0,2.0
3600.0,5.590495,6.1040080846432195E-6,1000.0,51.77049214788571,61.57557878847361,3600.0,2352328.0,2.0
3700.0,5.691428,6.168732702558241E-6,1000.0,46.009753241340874,55.53145592576875,3700.0,2478784.0,2.0
3800.0,5.791762,6.236409753271276E-6,1000.0,38.003441956708386,47.66156181206918,3800.0,2607328.0,2.0
3900.0,5.896264,6.310436284190252E-6,1000.0,34.10944919907023,45.49275728382397,3900.0,2738200.0,2.0
4000.0,6.00958,6.3944979019918386E-6,1000.0,33.70005535994796,46.33185456989435,4000.0,2867536.0,2.0
