vhod1-3,vhod1-2,vhod1-1,vhod2-3,vhod2-2,vhod2-1,izhod-3,izhod-2,izhod-1,izhod
0.4872402991,0.4831759541,0.4791025861,-0.04954705807,-0.09909631825,-0.1485086271,3,4.362626781,5.613962007,6.754252511
0.4831759541,0.4791025861,0.4750203196,-0.09909631825,-0.1485086271,-0.1976449725,4.362626781,5.613962007,6.754252511,7.784023525
0.4791025861,0.4750203196,0.4709292796,-0.1485086271,-0.1976449725,-0.2463669221,5.613962007,6.754252511,7.784023525,8.704077519
0.4750203196,0.4709292796,0.4668295911,-0.1976449725,-0.2463669221,-0.2945370599,6.754252511,7.784023525,8.704077519,9.515492173
0.4709292796,0.4668295911,0.4627213794,-0.2463669221,-0.2945370599,-0.34201942,7.784023525,8.704077519,9.515492173,10.21961747
0.4668295911,0.4627213794,0.4586047699,-0.2945370599,-0.34201942,-0.3886799164,8.704077519,9.515492173,10.21961747,10.81807195
0.4627213794,0.4586047699,0.4544798882,-0.34201942,-0.3886799164,-0.4343867665,9.515492173,10.21961747,10.81807195,11.31273808
0.4586047699,0.4544798882,0.45034686,-0.3886799164,-0.4343867665,-0.4790109076,10.21961747,10.81807195,11.31273808,11.70575684
0.4544798882,0.45034686,0.4462058113,-0.4343867665,-0.4790109076,-0.5224264047,10.81807195,11.31273808,11.70575684,11.99952147
0.45034686,0.4462058113,0.442056868,-0.4790109076,-0.5224264047,-0.5645108483,11.31273808,11.70575684,11.99952147,12.19667038
0.4462058113,0.442056868,0.4379001565,-0.5224264047,-0.5645108483,-0.6051457408,11.70575684,11.99952147,12.19667038,12.30007936
0.442056868,0.4379001565,0.4337358032,-0.5645108483,-0.6051457408,-0.6442168702,11.99952147,12.19667038,12.30007936,12.31285303
0.4379001565,0.4337358032,0.4295639344,-0.6051457408,-0.6442168702,-0.6816146699,12.19667038,12.30007936,12.31285303,12.2383155
0.4337358032,0.4295639344,0.4253846769,-0.6442168702,-0.6816146699,-0.7172345633,12.30007936,12.31285303,12.2383155,12.0800004
0.4295639344,0.4253846769,0.4211981576,-0.6816146699,-0.7172345633,-0.7509772924,12.31285303,12.2383155,12.0800004,11.84164029
0.4253846769,0.4211981576,0.4170045032,-0.7172345633,-0.7509772924,-0.7827492284,12.2383155,12.0800004,11.84164029,11.52715534
0.4211981576,0.4170045032,0.4128038409,-0.7509772924,-0.7827492284,-0.8124626643,12.0800004,11.84164029,11.52715534,11.14064154
0.4170045032,0.4128038409,0.4085962979,-0.7827492284,-0.8124626643,-0.8400360881,11.84164029,11.52715534,11.14064154,10.68635825
0.4128038409,0.4085962979,0.4043820014,-0.8124626643,-0.8400360881,-0.8653944352,11.52715534,11.14064154,10.68635825,10.16871539
0.4085962979,0.4043820014,0.4001610789,-0.8400360881,-0.8653944352,-0.8884693201,11.14064154,10.68635825,10.16871539,9.592259984
0.4043820014,0.4001610789,0.3959336579,-0.8653944352,-0.8884693201,-0.9091992458,10.68635825,10.16871539,9.592259984,8.961662466
0.4001610789,0.3959336579,0.3916998661,-0.8884693201,-0.9091992458,-0.9275297908,10.16871539,9.592259984,8.961662466,8.281702483
0.3959336579,0.3916998661,0.3874598311,-0.9091992458,-0.9275297908,-0.9434137722,9.592259984,8.961662466,8.281702483,7.557254432
0.3916998661,0.3874598311,0.3832136809,-0.9275297908,-0.9434137722,-0.9568113864,8.961662466,8.281702483,7.557254432,6.793272702
0.3874598311,0.3832136809,0.3789615433,-0.9434137722,-0.9568113864,-0.9676903234,8.281702483,7.557254432,6.793272702,5.994776685
0.3832136809,0.3789615433,0.3747035464,-0.9568113864,-0.9676903234,-0.9760258585,7.557254432,6.793272702,5.994776685,5.166835607
0.3789615433,0.3747035464,0.3704398183,-0.9676903234,-0.9760258585,-0.9818009181,6.793272702,5.994776685,5.166835607,4.314553226
0.3747035464,0.3704398183,0.3661704872,-0.9760258585,-0.9818009181,-0.9850061199,5.994776685,5.166835607,4.314553226,3.443052448
0.3704398183,0.3661704872,0.3618956813,-0.9818009181,-0.9850061199,-0.985639789,5.166835607,4.314553226,3.443052448,2.557459914
0.3661704872,0.3618956813,0.3576155291,-0.9850061199,-0.985639789,-0.983707948,4.314553226,3.443052448,2.557459914,1.662890605
0.3618956813,0.3576155291,0.3533301588,-0.985639789,-0.983707948,-0.9792242819,3.443052448,2.557459914,1.662890605,0.7644325178
